set,n,accuracy,log_loss,brier,roc_auc,Δ log loss,ci_lo,ci_hi,significant
ranking,1911,0.6473050758765044,0.6256323711859821,0.21833334410613925,0.70689281254792,0.0,0.0,0.0,False
+form,1911,0.6499215070643642,0.6240397500213457,0.2177515530822795,0.7060253236653596,0.0015926211646364295,-0.002581131182808656,0.005894581859219427,False
+elo,1911,0.6541077969649398,0.620398655611912,0.21627062198668662,0.7093736993143334,0.005233715574070257,-0.0018201629085494936,0.012042213634704074,False
full,1911,0.6509680795395081,0.620368051365715,0.21633231393198962,0.7086956997962714,0.0052643198202670756,-0.0018317924922801614,0.012184043300254906,False
+h2h,1911,0.6551543694400838,0.6197200573909533,0.21595831494990897,0.7103748165348638,0.005912313795028736,-0.001158053281594092,0.01269414381013754,False
+h2h_bo5,1911,0.6551543694400838,0.6193559083533479,0.21582620953499385,0.7106475497820326,0.00627646283263414,-0.0008227227728516364,0.012976113004427785,False
MARKET,1906,0.6883525708289612,0.5955457041054132,0.20499405376133187,0.7433784222725046,,,,True
