model,log loss,log loss (symmetrised),asymmetry,accuracy,brier,roc_auc
LogReg,0.6193559083533479,0.6193559083533479,8.888755770154314e-18,0.6551543694400838,0.21582620953499385,0.7106475497820326
RandomForest,0.6286355968925393,0.626754927990599,0.05980266317154156,0.6373626373626373,0.21921030441428996,0.6984139849722886
HistGB,0.6261623849102409,0.6225092761149464,0.04591990740865999,0.6399790685504971,0.21729594156013726,0.7046298933163924
